study_id,relationship_to_proband,curie,system,display,inactive,description
,adopted child,CHLDADOPT,http://terminology.hl7.org/CodeSystem/v3-RoleCode,adopted child,,The player of the role is a child taken into a family through legal means and raised by the scoping person (parent) as his or her own child.
,adopted daughter,DAUADOPT,http://terminology.hl7.org/CodeSystem/v3-RoleCode,adopted daughter,,The player of the role is a female child taken into a family through legal means and raised by the scoping person (parent) as his or her own child.
,adopted son,SONADOPT,http://terminology.hl7.org/CodeSystem/v3-RoleCode,adopted son,,The player of the role is a male child taken into a family through legal means and raised by the scoping person (parent) as his or her own child.
,adoptive father,ADOPTF,http://terminology.hl7.org/CodeSystem/v3-RoleCode,adoptive father,,The player of the role (father) is a male who has taken the scoper (child) into their family through legal means and raises them as his own child.
,adoptive mother,ADOPTM,http://terminology.hl7.org/CodeSystem/v3-RoleCode,adoptive mother,,The player of the role (father) is a female who has taken the scoper (child) into their family through legal means and raises them as her own child.
,adoptive parent,ADOPTP,http://terminology.hl7.org/CodeSystem/v3-RoleCode,adoptive parent,,The player of the role (parent) has taken the scoper (child) into their family through legal means and raises them as his or her own child.
,aunt,AUNT,http://terminology.hl7.org/CodeSystem/v3-RoleCode,aunt,,The player of the role is a sister of the scoping person's mother or father.
,brother,BRO,http://terminology.hl7.org/CodeSystem/v3-RoleCode,brother,,The player of the role is a male sharing one or both parents in common with the scoping entity.
,brother-in-law,BROINLAW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,brother-in-law,,"""The player of the role is: (1) a brother of the scoping person's spouse, or (2) the husband of the scoping person's sister, or (3) the husband of a sister of the scoping person's spouse."""
,child,CHILD,http://terminology.hl7.org/CodeSystem/v3-RoleCode,child,,The player of the role is a child of the scoping entity.
,child-in-law,CHLDINLAW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,child-in-law,,The player of the role is the spouse of scoping person's child.
,cousin,COUSN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,cousin,,"""The player of the role is a relative of the scoping person descended from a common ancestor, such as a grandparent, by two or more steps in a diverging line."""
,daughter,DAUC,http://terminology.hl7.org/CodeSystem/v3-RoleCode,daughter,,Description:The player of the role is a female child (of any type) of scoping entity (parent)
,daughter in-law,DAUINLAW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,daughter in-law,,The player of the role is the wife of scoping person's son.
,domestic partner,DOMPART,http://terminology.hl7.org/CodeSystem/v3-RoleCode,domestic partner,,The player of the role cohabits with the scoping person but is not the scoping person's spouse.
,extended family member,EXT,http://terminology.hl7.org/CodeSystem/v3-RoleCode,extended family member,,"""Description:A family member not having an immediate genetic or legal relationship e.g. Aunt, cousin, great grandparent, grandchild, grandparent, niece, nephew or uncle."""
,family member,FAMMEMB,http://terminology.hl7.org/CodeSystem/v3-RoleCode,family member,,"""A relationship between two people characterizing their """"familial"""" relationship"""
,father,FTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,father,,The player of the role is a male who begets or raises or nurtures the scoping entity (child).
,father-in-law,FTHINLAW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,father-in-law,,The player of the role is the father of the scoping person's husband or wife.
,first cousin,COUSN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,cousin,,"""The player of the role is a relative of the scoping person descended from a common ancestor, such as a grandparent, by two or more steps in a diverging line."""
,former spouse,FMRSPS,http://terminology.hl7.org/CodeSystem/v3-RoleCode,former spouse,,Player of the role was previously joined to the scoping person in marriage and this marriage is now dissolved and inactive.
,foster child,CHLDFOST,http://terminology.hl7.org/CodeSystem/v3-RoleCode,foster child,,The player of the role is a child receiving parental care and nurture from the scoping person (parent) but not related to him or her through legal or blood ties.
,foster daughter,DAUFOST,http://terminology.hl7.org/CodeSystem/v3-RoleCode,foster daughter,,The player of the role is a female child receiving parental care and nurture from the scoping person (parent) but not related to him or her through legal or blood ties.
,foster father,FTHFOST,http://terminology.hl7.org/CodeSystem/v3-RoleCode,foster father,,"""The player of the role (parent) who is a male state-certified caregiver responsible for the scoper (child) who has been placed in the parent's care. The placement of the child is usually arranged through the government or a social-service agency, and temporary."""
,foster mother,MTHFOST,http://terminology.hl7.org/CodeSystem/v3-RoleCode,foster mother,,"""The player of the role (parent) who is a female state-certified caregiver responsible for the scoper (child) who has been placed in the parent's care. The placement of the child is usually arranged through the government or a social-service agency, and temporary."""
,foster parent,PRNFOST,http://terminology.hl7.org/CodeSystem/v3-RoleCode,foster parent,,"""The player of the role (parent) who is a state-certified caregiver responsible for the scoper (child) who has been placed in the parent's care. The placement of the child is usually arranged through the government or a social-service agency, and temporary."""
,foster son,SONFOST,http://terminology.hl7.org/CodeSystem/v3-RoleCode,foster son,,The player of the role is a male child receiving parental care and nurture from the scoping person (parent) but not related to him or her through legal or blood ties.
,fraternal twin,FTWIN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,fraternal twin,,The scoper and player were carried in the same womb and share common biological parents but are the product of distinct egg/sperm pairs.
,fraternal twin brother,FTWINBRO,http://terminology.hl7.org/CodeSystem/v3-RoleCode,fraternal twin brother,,The scoper was carried in the same womb as the male player and shares common biological parents but is the product of a distinct egg/sperm pair.
,fraternal twin sister,FTWINSIS,http://terminology.hl7.org/CodeSystem/v3-RoleCode,fraternal twin sister,,The scoper was carried in the same womb as the female player and shares common biological parents but is the product of a distinct egg/sperm pair.
,gestational mother,GESTM,http://terminology.hl7.org/CodeSystem/v3-RoleCode,gestational mother,,The player is a female whose womb carries the fetus of the scoper. Generally used when the gestational mother and natural mother are not the same.
,grandchild,GRNDCHILD,http://terminology.hl7.org/CodeSystem/v3-RoleCode,grandchild,,The player of the role is a child of the scoping person's son or daughter.
,granddaughter,GRNDDAU,http://terminology.hl7.org/CodeSystem/v3-RoleCode,granddaughter,,The player of the role is a daughter of the scoping person's son or daughter.
,grandfather,GRFTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,grandfather,,The player of the role is the father of the scoping person's mother or father.
,grandmother,GRMTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,grandmother,,The player of the role is the mother of the scoping person's mother or father.
cmg_yale,grandmother's brother,EXT,http://terminology.hl7.org/CodeSystem/v3-RoleCode,extended family member,,"""Description:A family member not having an immediate genetic or legal relationship e.g. Aunt, cousin, great grandparent, grandchild, grandparent, niece, nephew or uncle."""
,grandparent,GRPRN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,grandparent,,The player of the role is a parent of the scoping person's mother or father.
,grandson,GRNDSON,http://terminology.hl7.org/CodeSystem/v3-RoleCode,grandson,,The player of the role is a son of the scoping person's son or daughter.
,great grandfather,GGRFTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,great grandfather,,The player of the role is the father of the scoping person's grandparent.
,great grandmother,GGRMTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,great grandmother,,The player of the role is the mother of the scoping person's grandparent.
,great grandparent,GGRPRN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,great grandparent,,The player of the role is a parent of the scoping person's grandparent.
cmg_yale,half brother (unrelated to father),HBRO,http://terminology.hl7.org/CodeSystem/v3-RoleCode,half-brother,,The player of the role is a male related to the scoping entity by sharing only one biological parent.
cmg_yale,half sister (unrelated to father),HSIS,http://terminology.hl7.org/CodeSystem/v3-RoleCode,half-sister,,The player of the role is a female related to the scoping entity by sharing only one biological parent.
,half-brother,HBRO,http://terminology.hl7.org/CodeSystem/v3-RoleCode,half-brother,,The player of the role is a male related to the scoping entity by sharing only one biological parent.
,half-sibling,HSIB,http://terminology.hl7.org/CodeSystem/v3-RoleCode,half-sibling,,The player of the role is related to the scoping entity by sharing only one biological parent.
,half-sister,HSIS,http://terminology.hl7.org/CodeSystem/v3-RoleCode,half-sister,,The player of the role is a female related to the scoping entity by sharing only one biological parent.
,husband,HUSB,http://terminology.hl7.org/CodeSystem/v3-RoleCode,husband,,The player of the role is a man joined to a woman (scoping person) in marriage.
,identical twin,ITWIN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,identical twin,,The scoper and player are offspring of the same egg-sperm pair.
,identical twin brother,ITWINBRO,http://terminology.hl7.org/CodeSystem/v3-RoleCode,identical twin brother,,The male scoper is an offspring of the same egg-sperm pair as the male player.
,identical twin sister,ITWINSIS,http://terminology.hl7.org/CodeSystem/v3-RoleCode,identical twin sister,,The female scoper is an offspring of the same egg-sperm pair as the female player.
,inlaw,INLAW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,inlaw,,A relationship between an individual and a member of their spousal partner's immediate family.
,maternal aunt,MAUNT,http://terminology.hl7.org/CodeSystem/v3-RoleCode,maternal aunt,,**Description:**The player of the role is a biological sister of the scoping person's biological mother.
,maternal cousin,MCOUSN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,maternal cousin,,"""**Description:**The player of the role is a biological relative of the scoping person descended from a common ancestor on the player's mother's side, such as a grandparent, by two or more steps in a diverging line."""
,maternal grandfather,MGRFTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,maternal grandfather,,**Description:**The player of the role is the biological father of the scoping person's biological mother.
,maternal grandmother,MGRMTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,maternal grandmother,,**Description:**The player of the role is the biological mother of the scoping person's biological mother.
,maternal grandparent,MGRPRN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,maternal grandparent,,**Description:**The player of the role is the biological parent of the scoping person's biological mother.
cmg_yale,maternal great uncle,EXT,http://terminology.hl7.org/CodeSystem/v3-RoleCode,extended family member,,"""Description: A family member not having an immediate genetic or legal relationship e.g. Aunt, cousin, great grandparent, grandchild, grandparent, niece, nephew or uncle."""
,maternal great-grandfather,MGGRFTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,maternal great-grandfather,,**Description:**The player of the role is the biological father of the scoping person's biological mother's parent.
,maternal great-grandmother,MGGRMTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,maternal great-grandmother,,**Description:**The player of the role is the biological mother of the scoping person's biological mother's parent.
,maternal great-grandparent,MGGRPRN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,maternal great-grandparent,,**Description:**The player of the role is a biological parent of the scoping person's biological mother's parent.
,maternal uncle,MUNCLE,http://terminology.hl7.org/CodeSystem/v3-RoleCode,maternal uncle,,**Description:**The player of the role is a biological brother of the scoping person's biological mother.
,mother,MTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,mother,,"""The player of the role is a female who conceives, gives birth to, or raises and nurtures the scoping entity (child)."""
inactive,inactive mother-in-law,MTHINLOAW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,mother-in-law,inactive,The player of the role is the mother of the scoping person's husband or wife.
,mother-in-law,MTHINLAW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,mother-in-law,,The player of the role is the mother of the scoping person's husband or wife.
,natural brother,NBRO,http://terminology.hl7.org/CodeSystem/v3-RoleCode,natural brother,,The player of the role is a male having the same biological parents as the scoping entity.
,natural child,NCHILD,http://terminology.hl7.org/CodeSystem/v3-RoleCode,natural child,,The player of the role is an offspring of the scoping entity as determined by birth.
,natural daughter,DAU,http://terminology.hl7.org/CodeSystem/v3-RoleCode,natural daughter,,The player of the role is a female offspring of the scoping entity (parent).
,natural father,NFTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,natural father,,The player of the role is a male who begets the scoping entity (child).
,natural father of fetus,NFTHF,http://terminology.hl7.org/CodeSystem/v3-RoleCode,natural father of fetus,,Indicates the biologic male parent of a fetus.
,natural mother,NMTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,natural mother,,The player of the role is a female who conceives or gives birth to the scoping entity (child).
,natural mother of fetus,NMTHF,http://terminology.hl7.org/CodeSystem/v3-RoleCode,natural mother of fetus,,The player is the biologic female parent of the scoping fetus.
,natural parent,NPRN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,natural parent,,
,natural sibling,NSIB,http://terminology.hl7.org/CodeSystem/v3-RoleCode,natural sibling,,The player of the role has both biological parents in common with the scoping entity.
,natural sister,NSIS,http://terminology.hl7.org/CodeSystem/v3-RoleCode,natural sister,,The player of the role is a female having the same biological parents as the scoping entity.
,natural son,SON,http://terminology.hl7.org/CodeSystem/v3-RoleCode,natural son,,The player of the role is a male offspring of the scoping entity (parent).
,nephew,NEPHEW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,nephew,,The player of the role is a son of the scoping person's brother or sister or of the brother or sister of the scoping person's spouse.
,niece,NIECE,http://terminology.hl7.org/CodeSystem/v3-RoleCode,niece,,The player of the role is a daughter of the scoping person's brother or sister or of the brother or sister of the scoping person's spouse.
,niece/nephew,NIENEPH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,niece/nephew,,The player of the role is a child of scoping person's brother or sister or of the brother or sister of the scoping person's spouse.
cmg_yale,non-identical twin brother,FTWINBRO,http://terminology.hl7.org/CodeSystem/v3-RoleCode,fraternal twin brother,,The scoper was carried in the same womb as the male player and shares common biological parents but is the product of a distinct egg/sperm pair.
cmg_yale,non-identical twin sister,FTWINSIS,http://terminology.hl7.org/CodeSystem/v3-RoleCode,fraternal twin sister,,The scoper was carried in the same womb as the female player and shares common biological parents but is the product of a distinct egg/sperm pair.
,parent,PRN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,parent,,"""The player of the role is one who begets, gives birth to, or nurtures and raises the scoping entity (child)."""
,parent in-law,PRNINLAW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,parent in-law,,The player of the role is the parent of scoping person's husband or wife.
,paternal aunt,PAUNT,http://terminology.hl7.org/CodeSystem/v3-RoleCode,paternal aunt,,**Description:**The player of the role is a biological sister of the scoping person's biological father.
,paternal cousin,PCOUSN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,paternal cousin,,"""**Description:**The player of the role is a biological relative of the scoping person descended from a common ancestor on the player's father's side, such as a grandparent, by two or more steps in a diverging line."""
,paternal grandfather,PGRFTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,paternal grandfather,,**Description:**The player of the role is the biological father of the scoping person's biological father.
,paternal grandmother,PGRMTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,paternal grandmother,,**Description:**The player of the role is the biological mother of the scoping person's biological father.
,paternal grandparent,PGRPRN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,paternal grandparent,,**Description:**The player of the role is the biological parent of the scoping person's biological father.
,paternal great-grandfather,PGGRFTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,paternal great-grandfather,,**Description:**The player of the role is the biological father of the scoping person's biological father's parent.
,paternal great-grandmother,PGGRMTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,paternal great-grandmother,,**Description:**The player of the role is the biological mother of the scoping person's biological father's parent.
,paternal great-grandparent,PGGRPRN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,paternal great-grandparent,,**Description:**The player of the role is a biological parent of the scoping person's biological father's parent.
,paternal uncle,PUNCLE,http://terminology.hl7.org/CodeSystem/v3-RoleCode,paternal uncle,,**Description:**The player of the role is a biological brother of the scoping person's biological father.
,sibling,SIB,http://terminology.hl7.org/CodeSystem/v3-RoleCode,sibling,,The player of the role shares one or both parents in common with the scoping entity.
,sibling in-law,SIBINLAW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,sibling in-law,,"""The player of the role is: (1) a sibling of the scoping person's spouse, or (2) the spouse of the scoping person's sibling, or (3) the spouse of a sibling of the scoping person's spouse."""
,significant other,SIGOTHR,http://terminology.hl7.org/CodeSystem/v3-RoleCode,significant other,,A person who is important to one's well being; especially a spouse or one in a similar relationship. (The player is the one who is important)
,sister,SIS,http://terminology.hl7.org/CodeSystem/v3-RoleCode,sister,,The player of the role is a female sharing one or both parents in common with the scoping entity.
cmg_yale,sister and daughter,FAMMEMB,http://terminology.hl7.org/CodeSystem/v3-RoleCode,family member,,"""A relationship between two people characterizing their """"familial"""" relationship"""
inactive,inactive sister-in-law,SISLINLAW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,sister-in-law,inactive,"""The player of the role is: (1) a sister of the scoping person's spouse, or (2) the wife of the scoping person's brother, or (3) the wife of a brother of the scoping person's spouse."""
,sister-in-law,SISINLAW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,sister-in-law,,"""The player of the role is: (1) a sister of the scoping person's spouse, or (2) the wife of the scoping person's brother, or (3) the wife of a brother of the scoping person's spouse."""
,son,SONC,http://terminology.hl7.org/CodeSystem/v3-RoleCode,son,,Description:The player of the role is a male child (of any type) of scoping entity (parent)
,son in-law,SONINLAW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,son in-law,,The player of the role is the husband of scoping person's daughter.
,spouse,SPS,http://terminology.hl7.org/CodeSystem/v3-RoleCode,spouse,,The player of the role is a marriage partner of the scoping person.
,step child,STPCHLD,http://terminology.hl7.org/CodeSystem/v3-RoleCode,step child,,The player of the role is a child of the scoping person's spouse by a previous union.
,step parent,STPPRN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,step parent,,The player of the role is the spouse of the scoping person's parent and not the scoping person's natural parent.
,step sibling,STPSIB,http://terminology.hl7.org/CodeSystem/v3-RoleCode,step sibling,,The player of the role is a child of the scoping person's stepparent.
,stepbrother,STPBRO,http://terminology.hl7.org/CodeSystem/v3-RoleCode,stepbrother,,The player of the role is a son of the scoping person's stepparent.
,stepdaughter,STPDAU,http://terminology.hl7.org/CodeSystem/v3-RoleCode,stepdaughter,,The player of the role is a daughter of the scoping person's spouse by a previous union.
,stepfather,STPFTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,stepfather,,The player of the role is the husband of scoping person's mother and not the scoping person's natural father.
,stepmother,STPMTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,stepmother,,The player of the role is the wife of scoping person's father and not the scoping person's natural mother.
,stepsister,STPSIS,http://terminology.hl7.org/CodeSystem/v3-RoleCode,stepsister,,The player of the role is a daughter of the scoping person's stepparent.
,stepson,STPSON,http://terminology.hl7.org/CodeSystem/v3-RoleCode,stepson,,The player of the role is a son of the scoping person's spouse by a previous union.
,twin,TWIN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,twin,,The scoper and player were carried in the same womb and shared common biological parents.
,twin brother,TWINBRO,http://terminology.hl7.org/CodeSystem/v3-RoleCode,twin brother,,The scoper was carried in the same womb as the male player and shares common biological parents.
,twin sister,TWINSIS,http://terminology.hl7.org/CodeSystem/v3-RoleCode,twin sister,,The scoper was carried in the same womb as the female player and shares common biological parents.
,uncle,UNCLE,http://terminology.hl7.org/CodeSystem/v3-RoleCode,uncle,,The player of the role is a brother of the scoping person's mother or father.
,wife,WIFE,http://terminology.hl7.org/CodeSystem/v3-RoleCode,wife,,The player of the role is a woman joined to a man (scoping person) in marriage.